Systematic_ID	Mass (kDa)	pI	Charge	Residues	CAI
SPAC1250.03	17.74	6.51	-1.11	155	0.57
SPAC1250.04c	12.67	7.65	0.91	108	0.52
SPAC1250.05	12.24	10.4	10.39	117	0.49
SPAC1250.07	13.32	4.27	-8.31	120	0.49
SPAC1296.01c	58.92	5.9	-8.86	542	0.63
SPAC1296.02	18.16	8.48	2.86	164	0.55
SPAC1296.03c	56.61	4.52	-18.52	507	0.6
SPAC1296.04	28.58	6.37	-1.91	248	0.6
SPAC1296.05c	29.39	5.34	-5.83	258	0.58
SPAC1296.06	67.27	8.38	8.53	584	0.62
SPAC12B10.01c	185.61	4.71	-64.05	1647	0.57
SPAC12B10.02c	26.93	9.49	5.65	235	0.58
SPAC12B10.03	61.81	8.64	10.56	543	0.6
SPAC12B10.04	46.52	4.7	-14.99	403	0.58
SPAC12B10.05	55.14	7.69	3.55	486	0.62
SPAC12B10.06c	16.76	9.99	8.37	139	0.56
SPAC12B10.07	29.81	4.92	-9.61	256	0.61
SPAC12B10.08c	52.36	10.01	24.24	456	0.6
SPAC12B10.09	28.77	10.23	13.3	266	0.53
SPAC12B10.10	48.11	5.14	-11.69	419	0.56
SPAC12B10.11	65.69	4.85	-18.36	570	0.58
SPAC12B10.12c	73.52	9.56	22.8	638	0.58
SPAC12B10.13	27.03	4.43	-12.66	240	0.56
SPAC12B10.14c	74.52	9.39	20.7	665	0.6
SPAC12B10.15c	16.88	4.62	-7.43	147	0.56
SPAC12B10.16c	57.15	5.78	-8.28	509	0.57
SPAC12G12.01c	101.95	6.94	-0.6	905	0.58
SPAC12G12.02	21.80	10.27	12.66	183	0.54
SPAC12G12.03	62.07	8.69	3.9	576	0.52
SPAC12G12.04	62.17	5.7	-4.14	582	0.51
SPAC12G12.05c	18.45	5.64	-3.07	163	0.57
SPAC12G12.06c	39.53	6.29	-1.6	363	0.54
SPAC12G12.07c	45.72	4.86	-11.79	412	0.56
SPAC12G12.08	23.88	10.63	17.4	213	0.61
SPAC12G12.09	109.71	5.96	-11.8	977	0.58
SPAC12G12.10	47.52	9.6	19.58	420	0.58
SPAC12G12.11c	42.28	5.37	-8.3	365	0.6
SPAC12G12.12	35.75	6.51	-2.15	324	0.56
SPAC12G12.13c	78.30	7.76	4.01	684	0.59
SPAC12G12.14c	57.65	7.44	3.83	509	0.59
SPAC12G12.15	54.45	9.28	12.9	472	0.57
SPAC12G12.16c	57.76	6.74	-1.55	496	0.58
SPAC12G12.17	7.00	10.44	6.21	58	0.47
SPAC1327.01c	107.81	6.95	-0.83	977	0.57
SPAC139.01c	90.15	6.36	-5.73	802	0.62
SPAC139.02c	35.55	10.28	23.41	320	0.56
SPAC139.03	72.13	7.44	3.45	625	0.62
SPAC139.04c	48.97	5.89	-6.03	433	0.6
SPAC139.05	53.31	5.78	-4.78	493	0.61
SPAC139.06	44.05	6.65	-2.35	378	0.6
SPAC1399.01c	64.57	5.01	-8.79	601	0.54
SPAC1399.02	63.51	8.55	6.9	589	0.62
SPAC1399.03	64.18	7.65	3.47	581	0.6
SPAC1399.04c	24.16	5.96	-0.98	220	0.54
SPAC1399.05c	60.56	7.85	4.52	529	0.69
SPAC1399.06	14.42	10.87	11.8	124	0.57
SPAC13A11.01c	88.21	5.19	-17.55	777	0.58
SPAC13A11.02c	56.33	9.03	9.48	495	0.52
SPAC13A11.03	24.22	5.21	-5.12	210	0.58
SPAC13A11.04c	51.72	7.83	7.76	449	0.64
SPAC13A11.05	56.19	6.14	-4.26	513	0.54
SPAC13A11.06	63.29	6.55	-4.62	571	0.63
SPAC13C5.01c	27.93	6.14	-2.16	248	0.61
SPAC13C5.02	48.52	5.45	-8.89	411	0.61
SPAC13C5.03	62.92	6.33	-5.18	543	0.59
SPAC13C5.04	28.00	4.77	-8.85	248	0.56
SPAC13C5.05c	56.35	6.13	-4.28	518	0.64
SPAC13C5.06c	20.06	4.61	-6.5	177	0.61
SPAC13C5.07	73.69	5.45	-15.83	649	0.6
SPAC13D1.01c	154.95	9.6	43.48	1333	0.57
SPAC13D6.01	49.62	7.71	3.88	431	0.59
SPAC13D6.02c	19.34	7.99	6.26	179	0.52
SPAC13D6.03c	26.28	7.32	1.09	228	0.58
SPAC13D6.04c	60.44	4.6	-27.87	523	0.59
SPAC13D6.05	26.67	5.06	-5.33	234	0.59
SPAC13F5.01c	106.93	8.95	18.18	941	0.59
SPAC13F5.02c	45.00	4.57	-22.83	393	0.58
SPAC13F5.03c	49.43	7.63	3.15	450	0.57
SPAC13F5.04c	42.30	6.09	-6.16	389	0.69
SPAC13F5.05	40.76	9.75	15.73	363	0.61
SPAC13F5.06c	92.51	6.91	-0.8	811	0.62
SPAC13F5.07c	18.43	8.08	1.86	165	0.51
SPAC13G6.01c	128.61	5.91	-15.18	1133	0.59
SPAC13G6.02c	28.49	10.72	22.86	252	0.5
SPAC13G6.03	85.64	6.86	-1.21	758	0.62
SPAC13G6.04	9.99	5.7	-1.68	87	0.53
SPAC13G6.05c	28.50	8.05	1.62	253	0.6
SPAC13G6.06c	114.23	7.33	4.38	1031	0.56
SPAC13G6.07c	27.50	11.49	32.89	239	0.44
SPAC13G6.08	60.53	6.83	-1.16	535	0.59
SPAC13G6.09	31.09	4.47	-14.54	274	0.55
SPAC13G6.10c	54.21	3.89	-28.68	530	0.5
SPAC13G6.11c	43.41	6.92	-0.34	404	0.59
SPAC13G6.12c	97.99	8.54	13.6	859	0.59
SPAC13G6.13	14.10	10.33	16.33	115	0.5
SPAC13G6.14	23.72	10.14	7.69	210	0.57
SPAC13G6.15c	18.05	4.69	-10.11	163	0.53
SPAC13G7.01c	82.82	5.96	-8.25	721	0.61
SPAC13G7.02c	70.14	4.87	-18.17	644	0.54
SPAC13G7.03	30.94	10.73	30.68	278	0.57
SPAC13G7.04c	81.72	10.14	22.66	756	0.58
SPAC13G7.05	63.10	9.42	18.31	537	0.61
SPAC13G7.06	30.56	7.3	1.07	266	0.58
SPAC13G7.07	37.17	6.72	-1.17	321	0.67
SPAC13G7.08c	49.51	6.59	-2.1	446	0.64
SPAC13G7.09c	16.04	11.04	16.71	135	0.53
SPAC13G7.10	43.92	9.26	6.59	390	0.61
SPAC13G7.11	31.69	10.7	23.27	269	0.61
SPAC13G7.12c	52.54	7.11	0.82	456	0.57
SPAC13G7.13c	59.12	8.49	5.99	533	0.62
SPAC140.01	31.43	8.96	13.24	275	0.57
SPAC140.02	52.99	4.63	-20.81	500	0.53
SPAC140.03	45.63	4.83	-11.13	399	0.59
SPAC140.04	35.32	5.93	-3	295	0.6
SPAC1420.01c	63.48	6.21	-6.05	580	0.6
SPAC1420.02c	59.38	6.17	-6.84	546	0.58
SPAC1420.03	51.62	6.44	-2.99	443	0.61
SPAC1420.04c	86.17	9.68	33.83	753	0.59
SPAC144.01	13.62	10.76	15.23	112	0.48
SPAC144.02	28.35	7.42	2.18	249	0.58
SPAC144.03	47.88	6.43	-3.03	434	0.55
SPAC144.04c	47.84	5.16	-10.1	432	0.57
SPAC144.05	159.95	7.64	9.65	1375	0.63
SPAC144.06	93.16	5.29	-12.29	825	0.62
SPAC144.07c	35.73	4.48	-15.3	315	0.57
SPAC144.08	25.90	8.41	2.4	225	0.54
SPAC144.09c	43.85	8.69	25.57	374	0.67
SPAC144.10c	52.18	10.02	23.59	459	0.6
SPAC144.11	17.50	11.01	19.36	152	0.47
SPAC144.12	29.33	6.14	-2.19	274	0.54
SPAC144.13c	62.06	9.35	11.46	556	0.57
SPAC144.14	57.25	6.84	-1.3	511	0.56
SPAC144.15c	81.56	5.05	-16.47	701	0.61
SPAC144.16	20.23	4.39	-13.97	179	0.61
SPAC144.17c	52.01	6.68	-1.02	449	0.62
SPAC144.18	38.02	9.57	9.54	345	0.53
SPAC144.19	10.40	10.47	10.6	86	0.51
SPAC1486.01	24.35	9.62	6.15	218	0.55
SPAC1486.02c	42.24	8.38	2.87	372	0.56
SPAC1486.03c	91.67	5.14	-19.66	797	0.61
SPAC1486.04c	197.86	5.23	-36	1727	0.61
SPAC1486.05	192.20	4.92	-35	1807	0.58
SPAC1486.06	46.69	6.51	-2.8	410	0.57
SPAC1486.07c	15.44	10.58	10.6	144	0.55
SPAC1486.08	13.69	9.98	5.95	113	0.52
SPAC1486.09	43.87	8.45	5.73	388	0.6
SPAC1486.10	88.06	6.51	-4.59	775	0.64
SPAC1486.11	12.11	10.72	10.67	104	0.53
SPAC14C4.01c	27.04	4.62	-12.31	244	0.63
SPAC14C4.02c	124.26	6.11	-8.61	1076	0.64
SPAC14C4.03	51.15	7.37	1.92	445	0.64
SPAC14C4.04	29.71	7.92	1.58	267	0.57
SPAC14C4.05c	94.91	8.66	11.54	844	0.63
SPAC14C4.06c	33.93	5.28	-6.06	307	0.57
SPAC14C4.07	71.75	7.63	3.9	644	0.6
SPAC14C4.08	22.04	8.04	2.97	185	0.54
SPAC14C4.09	46.97	3.85	-33.06	424	0.59
SPAC14C4.10c	38.29	8.88	7.96	329	0.6
SPAC14C4.11	85.44	7.19	1.9	734	0.54
SPAC14C4.12c	33.90	10.21	15.78	297	0.57
SPAC14C4.13	68.88	7.68	2.66	606	0.62
SPAC14C4.14	58.59	9.49	12.27	536	0.51
SPAC14C4.15c	98.34	6.45	-8.57	853	0.62
SPAC14C4.16	9.74	4.06	-7.01	86	0.47
SPAC1527.01	272.02	5.94	-32.85	2397	0.62
SPAC1527.02	22.65	10.08	8.36	201	0.54
SPAC1527.03	53.23	9.52	12.73	475	0.57
SPAC1556.01c	149.03	5.89	-15.44	1285	0.62
SPAC1556.02c	70.47	8.45	10.97	641	0.52
SPAC1556.03	33.06	8.44	4.27	299	0.64
SPAC1556.04c	14.89	4.74	-3.95	133	0.53
SPAC1556.05c	13.51	11.26	19.44	111	0.52
SPAC1556.06	90.81	5.16	-22.34	776	0.62
SPAC1556.07	29.22	5.05	-6.09	257	0.56
SPAC1556.08c	37.43	5.09	-7.64	334	0.6
SPAC1565.01	27.05	10.28	11.46	242	0.54
SPAC1565.02c	43.11	6.37	-4.3	374	0.68
SPAC1565.03	18.99	9.49	5.61	166	0.59
SPAC1565.04c	30.74	5	-8.63	264	0.58
SPAC1565.05	86.68	6.95	-0.42	773	0.63
SPAC1565.06c	22.54	9.12	4.38	198	0.58
SPAC1565.07c	137.88	4.87	-32.85	1220	0.58
SPAC1565.08	89.52	4.61	-34.65	809	0.54
SPAC15A10.01	77.06	10.06	25.46	693	0.59
SPAC15A10.02	49.20	9.67	7.14	450	0.58
SPAC15A10.03c	96.65	9.34	28	852	0.58
SPAC15A10.04c	51.38	4.42	-29.09	459	0.57
SPAC15A10.05c	26.47	7.86	1.79	242	0.57
SPAC15A10.06	63.60	5.26	-10.44	567	0.65
SPAC15A10.07	18.15	4.18	-12.84	162	0.51
SPAC15A10.08	72.44	5.31	-16.28	621	0.61
SPAC15A10.09c	31.45	4.14	-8.99	288	0.55
SPAC15A10.10	81.66	7.18	2.17	700	0.62
SPAC15A10.11	234.04	4.92	-70.1	2052	0.6
SPAC15A10.12c	17.13	5.59	-3.87	148	0.56
SPAC15A10.13	71.63	5.88	-7.46	637	0.61
SPAC15A10.15	72.48	4.89	-20.54	647	0.59
SPAC15A10.16	154.32	4.94	-39.54	1385	0.59
SPAC15A10.17	9.44	9.75	2.94	86	0.43
SPAC15E1.02c	15.94	9.81	5.69	148	0.6
SPAC15E1.03	12.21	11.13	25.78	106	0.49
SPAC15E1.04	69.89	5	-19.39	625	0.6
SPAC15E1.05c	41.56	5.29	-7.58	365	0.61
SPAC15E1.06	20.52	6.11	-2.14	187	0.53
SPAC15E1.07c	19.61	9.55	4.68	172	0.51
SPAC15E1.08	20.31	8.38	2.87	177	0.51
SPAC15E1.09	12.23	10.06	7.15	110	0.56
SPAC15E1.10	29.59	4.77	-8.15	265	0.54
SPAC15F9.01c	26.25	9.74	9.82	227	0.57
SPAC15F9.02	38.56	5.01	-8.97	339	0.55
SPAC15F9.03c	14.08	4.55	-4.53	123	0.52
SPAC16.01	22.25	4.92	-3.94	200	0.57
SPAC16.02c	42.57	6.98	-0.03	365	0.53
SPAC16.03c	37.55	6.67	-1.83	337	0.58
SPAC16.04	69.70	7.8	3.56	617	0.63
SPAC16.05c	48.23	6.37	-6.67	442	0.58
SPAC1610.01	24.95	4.24	-19.67	217	0.6
SPAC1610.02c	27.69	10.44	17.33	253	0.52
SPAC1610.03c	79.06	9.29	13.95	710	0.65
SPAC1610.04	60.24	9.68	20.13	526	0.66
SPAC1635.01	29.65	7.82	1.87	282	0.54
SPAC1639.01c	41.54	9.97	23.63	365	0.62
SPAC1639.02c	101.43	9.82	25.44	885	0.63
SPAC167.01	121.22	6.61	-7.05	1072	0.57
SPAC167.02	35.09	4.85	-12.13	311	0.57
SPAC167.03c	74.73	4.9	-21.21	649	0.61
SPAC167.04	22.97	10.84	19.42	197	0.56
SPAC167.05	65.95	9.39	10.79	601	0.59
SPAC167.06c	13.36	6.97	-0.04	121	0.48
SPAC167.07c	117.77	6.06	-14.24	1029	0.58
SPAC167.08	154.93	9.57	42.48	1333	0.57
SPAC167.09	19.99	9.17	4.61	178	0.61
SPAC1687.01	13.72	4.28	-9.34	125	0.49
SPAC1687.02	31.02	8.7	7.89	271	0.57
SPAC1687.03c	37.65	7.01	0.02	342	0.62
SPAC1687.04	56.60	4.85	-15.17	501	0.57
SPAC1687.05	80.72	6.66	-3.15	727	0.64
SPAC1687.06c	14.75	11.81	17.94	134	0.43
SPAC1687.07	13.93	9.1	2.19	124	0.53
SPAC1687.08	11.05	9.36	5.57	96	0.52
SPAC1687.09	150.02	10.13	50.52	1379	0.6
SPAC1687.10	75.94	9.51	17.92	661	0.61
SPAC1687.11	90.91	6.39	-3.25	802	0.54
SPAC1687.12c	31.10	10.03	10.37	272	0.57
SPAC1687.13c	34.39	6.63	-2.78	299	0.59
SPAC1687.14c	8.78	4.21	-8.55	76	0.47
SPAC1687.15	44.16	8.21	4.97	387	0.55
SPAC1687.16c	35.63	6.76	-1.99	300	0.61
SPAC1687.17c	22.24	9.73	5.45	190	0.56
SPAC1687.18c	64.77	7.69	4.47	559	0.59
SPAC1687.19c	45.18	7.23	1.22	404	0.63
SPAC1687.20c	78.51	9.51	22.07	672	0.6
SPAC1687.21	23.70	7.06	0.27	209	0.59
SPAC1687.22c	81.07	8.07	9.14	732	0.58
SPAC1687.23c	12.16	10.99	19.33	104	0.55
SPAC16A10.01	91.66	8.38	9.49	830	0.64
SPAC16A10.02	15.45	5.13	-5.03	136	0.54
SPAC16A10.03c	97.48	6.79	-1.97	847	0.62
SPAC16A10.04	22.41	8.26	3.01	203	0.59
SPAC16A10.05c	10.52	4.42	-5	90	0.45
SPAC16A10.06c	28.68	4.43	-15.27	250	0.57
SPAC16A10.07c	74.65	4.7	-25.04	663	0.61
SPAC16A10.08c	32.72	8.96	7.98	285	0.57
SPAC16C9.01c	40.05	5.46	-7.28	361	0.61
SPAC16C9.02c	33.85	6.31	-3.25	307	0.59
SPAC16C9.03	56.55	5.51	-10.54	498	0.62
SPAC16C9.04c	54.42	8.03	6.25	489	0.59
SPAC16C9.05	44.98	8.48	11.84	404	0.62
SPAC16C9.06c	104.53	8.45	15.47	925	0.57
SPAC16C9.07	94.23	9.62	27.95	836	0.61
SPAC16E8.01	154.63	5.36	-27.13	1420	0.62
SPAC16E8.02	24.99	7.59	1.32	222	0.6
SPAC16E8.03	12.60	8.83	4.57	111	0.53
SPAC16E8.04c	29.05	6.53	-1.16	251	0.57
SPAC16E8.05c	24.24	5.73	-3.19	209	0.58
SPAC16E8.06c	49.38	10.06	16.17	438	0.6
SPAC16E8.07c	94.16	5.4	-19.67	831	0.61
SPAC16E8.08	30.50	6.68	-0.91	269	0.57
SPAC16E8.09	99.10	7.5	3.66	872	0.58
SPAC16E8.10c	29.56	10.05	10.08	259	0.59
SPAC16E8.11c	60.60	5.51	-13.23	533	0.6
SPAC16E8.12c	24.07	6.31	-1.3	211	0.54
SPAC16E8.13	61.82	7.62	4.79	547	0.61
SPAC16E8.14c	24.39	5.09	-5.25	219	0.56
SPAC16E8.15	24.96	6.96	-0.06	218	0.58
SPAC16E8.16	36.69	8.76	7.68	340	0.6
SPAC16E8.17c	34.71	9.66	7.83	331	0.55
SPAC16E8.18	12.43	6.07	-2.15	107	0.53
SPAC16E8.18c	18.07	6.93	-0.13	156	0.52
SPAC1705.02	6.95	11.52	10.98	63	0.33
SPAC1705.03c	43.35	3.69	-24.88	421	0.48
SPAC1751.01c	78.73	8.27	5.48	720	0.6
SPAC1751.02c	10.49	11.44	11.66	93	0.49
SPAC1751.03	45.08	4.72	-15.9	402	0.56
SPAC1751.04	11.92	10.84	15.22	103	0.44
SPAC1782.01	190.97	5.94	-18.74	1679	0.61
SPAC1782.02c	18.32	8.03	1.13	161	0.55
SPAC1782.03	40.74	5.32	-9.03	355	0.54
SPAC1782.04	19.83	10.95	18.64	175	0.57
SPAC1782.05	40.29	6.75	-1.78	352	0.56
SPAC1782.06c	31.05	9.28	2.72	282	0.54
SPAC1782.07	10.47	10.11	6.66	92	0.54
SPAC1782.08c	61.20	8.57	14.78	540	0.63
SPAC1782.09c	60.25	9.18	13.14	537	0.61
SPAC1782.10c	17.18	9.77	7.89	154	0.5
SPAC1782.11	22.67	6.67	-0.92	202	0.5
SPAC1782.12c	12.65	10.21	8.08	118	0.51
SPAC1783.01	65.87	9.62	30.21	583	0.61
SPAC1783.02c	33.25	9.39	14.31	300	0.57
SPAC1783.03	40.50	9.96	16.51	351	0.62
SPAC1783.04c	46.59	9.65	19.98	415	0.6
SPAC1783.05	158.55	5.59	-25.8	1373	0.59
SPAC1783.06c	15.15	5.26	-1.79	132	0.6
SPAC1783.07c	61.53	5.37	-18.87	552	0.55
SPAC1783.08c	23.82	11.71	37.07	201	0.48
SPAC1786.01c	72.52	8.74	10.62	630	0.58
SPAC1786.02	70.57	4.78	-15.07	644	0.53
SPAC1786.03	69.35	10.11	38.59	601	0.62
SPAC1786.04	13.07	10.25	7.87	111	0.61
SPAC17A2.01	58.48	7.47	1.87	526	0.59
SPAC17A2.02c	33.04	9.65	13.22	290	0.57
SPAC17A2.03c	39.32	4.35	-21.78	343	0.59
SPAC17A2.04c	40.53	5.98	-6.58	358	0.61
SPAC17A2.05	55.48	7.89	3.7	513	0.58
SPAC17A2.06c	146.21	6.6	-7.5	1272	0.6
SPAC17A2.07c	19.92	4.46	-9.78	177	0.53
SPAC17A2.08c	41.87	4.8	-17.03	361	0.55
SPAC17A2.09c	67.87	8.4	7.1	632	0.56
SPAC17A2.10c	26.59	8.96	13.2	230	0.52
SPAC17A2.11	25.21	10.98	19.19	217	0.62
SPAC17A2.12	101.38	8.68	18.22	897	0.61
SPAC17A2.13c	30.37	4.49	-16.14	270	0.54
SPAC17A2.14	71.20	5.5	-17.81	617	0.6
SPAC17A5.01	106.50	5.11	-21.53	948	0.58
SPAC17A5.02c	52.82	6.75	-1.82	463	0.59
SPAC17A5.03	43.80	10.96	40.27	388	0.49
SPAC17A5.04c	56.44	5.3	-15.29	512	0.64
SPAC17A5.05c	28.33	6.94	-0.33	247	0.58
SPAC17A5.06	91.34	7.38	2.38	804	0.62
SPAC17A5.07c	71.92	8.72	10.59	638	0.6
SPAC17A5.08	24.14	8.19	1.89	210	0.57
SPAC17A5.09c	34.98	4.68	-16.34	310	0.58
SPAC17A5.10	24.07	9.13	9.2	224	0.57
SPAC17A5.11	39.40	9.72	11.28	345	0.6
SPAC17A5.12	79.48	6.53	-4.21	697	0.63
SPAC17A5.13	26.49	8.33	3.32	235	0.56
SPAC17A5.14	152.59	7.31	4.7	1328	0.6
